,wind_speed
0,11.666666666666666
1,11.666666666666666
2,10.833333333333334
3,9.722222222222221
4,11.38888888888889
5,7.777777777777778
6,9.166666666666666
7,7.222222222222222
8,10.277777777777777
9,11.38888888888889
10,6.111111111111111
11,6.666666666666666
12,6.111111111111111
13,7.777777777777778
14,5.833333333333333
15,5.833333333333333
16,3.0555555555555554
17,5.833333333333333
18,4.166666666666667
19,3.611111111111111
20,4.722222222222222
21,3.611111111111111
22,4.166666666666667
23,5.833333333333333
24,4.166666666666667
25,1.3888888888888888
26,1.1111111111111112
27,1.1111111111111112
28,1.1111111111111112
29,4.166666666666667
30,2.2222222222222223
31,4.722222222222222
32,4.166666666666667
33,5.833333333333333
34,5.0
35,6.111111111111111
36,5.833333333333333
37,5.0
38,5.0
39,3.611111111111111
40,2.5
41,2.5
42,2.2222222222222223
43,4.722222222222222
44,3.0555555555555554
45,3.611111111111111
46,4.722222222222222
47,3.611111111111111
48,3.0555555555555554
49,0.0
50,0.0
51,2.2222222222222223
52,3.0555555555555554
53,5.0
54,5.833333333333333
55,5.0
56,5.0
57,4.722222222222222
58,3.611111111111111
59,4.722222222222222
60,3.0555555555555554
61,2.2222222222222223
62,4.722222222222222
63,3.611111111111111
64,3.611111111111111
65,3.0555555555555554
66,4.166666666666667
67,4.722222222222222
68,3.611111111111111
69,4.166666666666667
70,6.666666666666666
71,6.666666666666666
72,4.166666666666667
73,4.166666666666667
74,2.5
75,1.1111111111111112
76,0.0
77,2.5
78,3.611111111111111
79,3.611111111111111
80,6.111111111111111
81,5.0
82,5.833333333333333
83,2.2222222222222223
84,1.1111111111111112
85,2.5
86,2.2222222222222223
87,1.1111111111111112
88,1.3888888888888888
89,2.5
90,2.2222222222222223
91,3.0555555555555554
92,2.5
93,3.611111111111111
94,2.5
95,5.0
96,3.611111111111111
97,8.333333333333334
98,7.222222222222222
99,7.222222222222222
100,5.833333333333333
101,6.111111111111111
102,7.222222222222222
103,7.222222222222222
104,8.333333333333334
105,7.777777777777778
106,7.222222222222222
107,6.111111111111111
108,6.666666666666666
109,4.722222222222222
110,4.166666666666667
111,3.0555555555555554
112,3.611111111111111
113,3.611111111111111
114,2.2222222222222223
115,1.1111111111111112
116,0.0
117,0.0
118,0.0
119,2.5
120,3.0555555555555554
121,4.166666666666667
122,3.0555555555555554
123,3.0555555555555554
124,4.722222222222222
125,6.111111111111111
126,7.222222222222222
127,6.666666666666666
128,5.833333333333333
129,6.111111111111111
130,4.166666666666667
131,5.0
132,3.611111111111111
133,3.0555555555555554
134,3.0555555555555554
135,2.5
136,2.2222222222222223
137,2.2222222222222223
138,3.611111111111111
139,3.0555555555555554
140,3.611111111111111
141,4.722222222222222
142,2.5
143,5.0
144,3.611111111111111
145,3.611111111111111
146,2.2222222222222223
147,3.611111111111111
148,4.166666666666667
149,4.722222222222222
150,6.666666666666666
151,10.277777777777777
152,7.777777777777778
153,9.444444444444445
154,6.111111111111111
155,7.222222222222222
156,8.333333333333334
157,4.722222222222222
158,4.166666666666667
159,4.722222222222222
160,4.722222222222222
161,2.5
162,2.2222222222222223
163,2.5
164,1.3888888888888888
165,3.0555555555555554
166,1.3888888888888888
167,2.2222222222222223
168,1.1111111111111112
169,3.611111111111111
170,2.2222222222222223
171,1.3888888888888888
172,4.166666666666667
173,2.5
174,3.611111111111111
175,4.722222222222222
176,5.833333333333333
177,5.833333333333333
178,6.666666666666666
179,7.222222222222222
180,7.222222222222222
181,8.333333333333334
182,6.666666666666666
183,6.666666666666666
184,7.777777777777778
185,6.666666666666666
186,5.833333333333333
187,4.166666666666667
188,5.0
189,7.222222222222222
190,5.833333333333333
191,7.777777777777778
192,7.222222222222222
193,7.222222222222222
194,6.666666666666666
195,5.833333333333333
196,6.111111111111111
197,7.222222222222222
198,9.444444444444445
199,7.222222222222222
200,7.222222222222222
201,7.222222222222222
202,6.666666666666666
203,7.222222222222222
204,8.333333333333334
205,5.833333333333333
206,6.111111111111111
207,6.111111111111111
208,5.0
209,6.111111111111111
210,5.833333333333333
211,6.111111111111111
212,4.166666666666667
213,3.0555555555555554
214,3.611111111111111
215,2.5
216,2.2222222222222223
217,2.2222222222222223
218,2.2222222222222223
219,1.3888888888888888
220,2.5
221,3.0555555555555554
222,3.611111111111111
223,4.166666666666667
224,3.611111111111111
225,2.2222222222222223
226,4.166666666666667
227,3.0555555555555554
228,2.2222222222222223
229,4.722222222222222
230,0.0
231,1.1111111111111112
232,1.1111111111111112
233,1.3888888888888888
234,2.2222222222222223
235,2.2222222222222223
236,2.2222222222222223
237,3.0555555555555554
238,4.166666666666667
239,3.611111111111111
240,5.0
241,6.666666666666666
242,7.777777777777778
243,6.111111111111111
244,6.111111111111111
245,7.777777777777778
246,7.222222222222222
247,6.666666666666666
248,6.111111111111111
249,5.0
250,5.0
251,5.833333333333333
252,4.166666666666667
253,4.166666666666667
254,3.0555555555555554
255,3.0555555555555554
256,3.0555555555555554
257,3.0555555555555554
258,3.0555555555555554
259,3.0555555555555554
260,3.611111111111111
261,4.166666666666667
262,4.166666666666667
263,3.611111111111111
264,3.611111111111111
265,4.722222222222222
266,5.0
267,4.166666666666667
268,5.0
269,4.166666666666667
270,5.0
271,3.0555555555555554
272,4.166666666666667
273,4.166666666666667
274,5.0
275,2.5
276,4.166666666666667
277,3.0555555555555554
278,2.2222222222222223
279,1.3888888888888888
280,2.2222222222222223
281,1.3888888888888888
282,0.0
283,1.1111111111111112
284,1.3888888888888888
285,0.0
286,1.1111111111111112
287,1.1111111111111112
288,2.2222222222222223
289,3.0555555555555554
290,4.722222222222222
291,6.111111111111111
292,5.0
293,8.333333333333334
294,7.222222222222222
295,8.88888888888889
296,8.333333333333334
297,10.277777777777777
298,8.333333333333334
299,8.333333333333334
300,6.111111111111111
301,5.833333333333333
302,4.722222222222222
303,2.5
304,3.0555555555555554
305,3.0555555555555554
306,3.0555555555555554
307,3.611111111111111
308,3.0555555555555554
309,3.0555555555555554
310,3.611111111111111
